description,category,type
KAKI BUKIT SCHOOL SHOES,Education,DR
MCDONALD'S ICE CREAM (TREAT),Food,DR
PARKSON BABY BIB SET,Shopping,DR
KIDS' COLORING BOOK @ MR DIY,Education,DR
WATSONS BABY POWDER,Shopping,DR
KAKI BUKIT SCHOOL ART FEE,Education,DR
OLDTOWN KAYA TOAST (WEEKEND TREAT),Food,DR
KIDS' BALLET SHOES @ KIDDY PALACE,Education,DR
TESCO BABY OATMEAL,Food,DR
KIDS' STICKER ALBUM @ MINISO,Shopping,DR
MAMEE CHEF (EXTRA RECESS),Food,DR
WATSONS BABY SHAMPOO,Shopping,DR
SALARY (PART-TIME ADMIN),Other Income,CR
KAKI BUKIT SCHOOL SWIMMING GOGGLES,Education,DR
LOTUS'S BABY FOOD POUCHES,Food,DR
KIDS' HAIR ACCESSORIES @ MINISO,Shopping,DR
OLDTOWN MILK TEA (LATE-NIGHT WORK),Food,DR
PARKSON BABY SOCKS (3-PACK),Shopping,DR
SALARY (FREELANCE IT WORK),Other Income,CR
AEON BIG (DIAPERS + MILK POWDER),Shopping,DR
DAUGHTER'S HAIRCUT @ KIDZ CUTZ,Personal Expenses,DR
PETRONAS PRIMAX (WEEKLY COMMUTE),Travel Expenses,DR
MYDIN BABY WIPES (BULK BUY),Shopping,DR
KFC CHEEZY LUNCH (TREAT DAY),Food,DR
PAEDIATRICIAN @ KLINIK KANAK-KANAK,Personal Expenses,DR
TOYS 'R' US (MINNIE MOUSE PLUSHIE),Shopping,DR
LOTUS'S RICE (10KG) + CHICKEN,Food,DR
DAUGHTER'S BALLET CLASS @ MYDANCE,Education,DR
WATSONS CHILDREN'S PANADOL,Personal Expenses,DR
MR DIY (CRAYONS + COLORING BOOK),Education,DR
TNG RELOAD (TOLLS + PARKING),E-Wallet,DR
KIDZANIA TICKET (DADDY-DAUGHTER DAY),Entertainment,DR
AYAMAS NUGGETS (DAUGHTER'S FAVE),Food,DR
OLDTOWN KOPI (ME TIME),Food,DR
PARKSON SCHOOL BAG (DISNEY PRINCESS),Education,DR
GAS STOVE REFILL @ MYDIN,Shopping,DR
DAUGHTER'S VITAMINS @ GUARDIAN,Personal Expenses,DR
LOTUS'S FRUIT PUREE POUCHES,Food,DR
DIGI POSTPAID (FAMILY PLAN),Utilities,DR
DAUGHTER'S BIRTHDAY CAKE @ BAKER'S COTTAGE,Food,DR
PETRONAS PRIMAX (WEEKEND TRIP),Travel Expenses,DR
MINISO STICKER BOOK (KEEPING HER BUSY),Shopping,DR
SALARY (FREELANCE IT WORK),Other Income,CR
TASIK TITIWANGSA BOAT RIDE (FATHER-DAUGHTER),Travel Expenses,DR
MYDIN DISPOSABLE DIAPERS (PROMO),Shopping,DR
KOPITIAM BREAKFAST (KAYA TOAST SET),Food,DR
DAUGHTER'S RAINBOW UMBRELLA @ MR DIY,Shopping,DR
PETRONAS MESRA (SNACKS + DRINKS),Food,DR
KIDZ PALACE (PRINCESS DRESS-UP SET),Shopping,DR
WATSONS BABY SHAMPOO (JOHNSON'S),Shopping,DR
LOTUS'S FISH FINGERS (DAUGHTER'S FAVE),Food,DR
TNG TOLL (BALIK KAMPUNG TRIP),Travel Expenses,DR
DAUGHTER'S STORYBOOK @ MPH (FROZEN THEME),Education,DR
KAMPUNG PLAYGROUND SWINGS (DIY REPAIR),Other Fees,DR
MCDONALD'S HAPPY MEAL (WEEKEND TREAT),Food,DR
PETRONAS PRIMAX (RETURN TRIP),Travel Expenses,DR
DAUGHTER'S STICKER ALBUM @ MINISO,Shopping,DR
SALARY (FREELANCE IT WORK),Other Income,CR
AEON BIG (BABY CEREAL + BISCUITS),Shopping,DR
DAUGHTER'S PEDIATRIC DENTIST @ KPJ,Personal Expenses,DR
PETRONAS MESRA (ICE CREAM TREAT),Food,DR
DAUGHTER'S STICKER COLLECTION @ MINISO,Shopping,DR
LOTUS'S CHICKEN SOUP MIX,Food,DR
DAUGHTER'S RAINCOAT @ MR DIY,Shopping,DR
WATSONS CHILDREN'S CALPOL,Personal Expenses,DR
PETRONAS PRIMAX (WEEKLY COMMUTE),Travel Expenses,DR
DAUGHTER'S PRINCESS SLIPPERS @ KIDDY PALACE,Education,DR
OLDTOWN MILK TEA (ME TIME),Food,DR
DAUGHTER'S BUBBLE MIX @ TOYSRUS,Shopping,DR
KOPITIAM LUNCH (CHAR KUEY TEOW),Food,DR
DAUGHTER'S PEDIATRICIAN VISIT,Personal Expenses,DR
PETRONAS PRIMAX (WEEKLY COMMUTE),Travel Expenses,DR
Balance C/F ar MoneyPLUS 3 PUBLIC BANK Double the dou ble the joy! Double your MoneyPLUS Sav,Balance,DR
